Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Robinson Chirinos\chiriro01,35,114,437,366,57,87,22,1,17,58,1,2,51,125,.238,.347,.443,.790,105,162,11,13,2,5,1
2,1B,Yuli Gurriel\gourryu01,35,144,612,564,85,168,40,2,31,104,5,3,37,65,.298,.343,.541,.884,126,305,12,5,0,6,2
3,2B,Jose Altuve\altuvjo01,29,124,548,500,89,149,27,3,31,74,6,5,41,82,.298,.353,.550,.903,131,275,19,3,1,3,0
4,SS,Carlos Correa\correca01,24,75,321,280,42,78,16,1,21,59,1,0,35,75,.279,.358,.568,.926,137,159,8,2,0,4,0
5,3B,Alex Bregman\bregmal01,25,156,690,554,122,164,37,2,41,112,5,1,119,83,.296,.423,.592,1.015,162,328,9,9,0,8,2
6,LF,Michael Brantley*\brantmi02,32,148,637,575,88,179,40,2,22,90,3,2,51,66,.311,.372,.503,.875,126,289,21,7,0,4,3
7,CF,Jake Marisnick\marisja01,28,120,318,292,46,68,16,3,10,34,10,3,17,95,.233,.289,.411,.700,80,120,6,6,3,0,0
8,RF,Josh Reddick*\reddijo01,32,141,550,501,57,138,19,3,14,56,5,2,36,66,.275,.319,.409,.728,89,205,9,0,1,9,1
9,DH,Yordan Alvarez*\alvaryo01,22,87,369,313,58,98,26,0,27,78,0,0,52,94,.313,.412,.655,1.067,173,205,9,2,0,2,4
10,OF,George Springer\springe01,29,122,556,479,96,140,20,3,39,96,6,2,67,113,.292,.383,.591,.974,150,283,12,6,0,4,1
11,1B,Tyler White\whitety01,28,71,253,218,16,49,14,0,3,21,0,0,32,74,.225,.320,.330,.650,72,72,7,0,0,3,0
12,IF,Aledmys Diaz\diazal02,28,69,247,210,36,57,12,1,9,40,2,0,26,28,.271,.356,.467,.823,114,98,10,5,0,6,1
13,2B,Tony Kemp*\kempto01,27,66,186,163,23,37,6,2,7,17,4,3,16,29,.227,.308,.417,.725,88,68,2,4,1,2,1
14,SS,Myles Straw\strawmy01,24,56,128,108,27,29,4,2,0,7,8,1,19,24,.269,.378,.343,.721,92,37,2,0,1,0,0
15,C,Max Stassi\stassma01,28,31,98,90,4,15,1,0,1,3,0,0,7,34,.167,.235,.211,.446,19,19,1,1,0,0,0
16,C,Martin Maldonado\maldoma01,32,27,98,84,20,17,4,0,6,10,0,0,13,26,.202,.316,.464,.781,101,39,2,1,0,0,0
17,3B,Abraham Toro#\toroab01,22,25,89,78,13,17,3,2,2,9,1,1,9,19,.218,.303,.385,.688,79,30,2,1,0,1,0
18,UT,Kyle Tucker*\tuckeky01,22,22,72,67,15,18,6,0,4,11,5,0,4,20,.269,.319,.537,.857,118,36,1,1,0,0,1
19,SS,Jack Mayfield\mayfija01,28,26,65,64,8,10,5,0,2,5,0,0,1,16,.156,.169,.328,.497,25,21,0,0,0,0,0
20,OF,Derek Fisher*\fishede01,25,17,60,53,9,12,2,1,1,5,4,1,7,14,.226,.317,.358,.675,77,19,0,0,0,0,0
21,UT,Garrett Stubbs*\stubbga01,26,19,39,35,8,7,3,0,0,2,1,0,4,7,.200,.282,.286,.568,50,10,1,0,0,0,0
22,P,Gerrit Cole\colege01,28,3,7,7,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,1,0,0,0,0
23,P,Wade Miley*\mileywa01,32,3,6,4,1,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-39,0,0,0,1,0,0
24,P,Jose Urquidy\urquijo01,24,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
25,P,Justin Verlander\verlaju01,36,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0
26,P,Zack Greinke\greinza01,35,1,2,2,0,1,0,0,0,0,0,1,0,1,.500,.500,.500,1.000,165,1,0,0,0,0,0
27,P,Joe Biagini\biagijo01,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
28,P,Reymin Guduan*\guduare01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
29,P,Aaron Sanchez\sanchaa01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Collin McHugh\mchugco01,32,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Cionel Perez*\perezci01,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Brady Rodgers\rodgebr01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Ryan Pressly\pressry01,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Corbin Martin\martico02,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Josh James\jamesjo02,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Chris Devenski\devench02,28,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Will Harris\harriwi10,34,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Joe Smith\smithjo05,35,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Rogelio Armenteros\armenro01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Brad Peacock\peacobr01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Framber Valdez*\valdefr01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Roberto Osuna\osunaro01,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Bryan Abreu\abreubr01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Cy Sneed\sneedcy01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Hector Rondon\rondohe01,31,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
